4.638000 -270.230820
4.653000 -270.240337
4.668000 -270.248652
4.683000 -270.255810
4.698000 -270.261846
4.713000 -270.266788
4.728000 -270.270688
4.743000 -270.273565
4.758000 -270.275467
4.773000 -270.276422
4.788000 -270.276460
4.803000 -270.275609
4.818000 -270.273908
4.833000 -270.271361
4.848000 -270.268030
4.863000 -270.263927
4.878000 -270.259077
4.893000 -270.253509
4.908000 -270.247242
4.923000 -270.240301
4.938000 -270.232720
